,arena,time,area,perimeter,circularity,rectangularity,total_hole_area,solidity,convexity,eccentricity,euler_number,standard_deviation_x,standard_deviation_y,skewness_x,skewness_y,kurtosis_x,kurtosis_y,major_axis_len,minor_axis_len,axes_orientation,network_detection,cluster_number,mean_cluster_area
0,8,0,171.05916312648384,50.93817873182056,0.8284558732165533,0.7952042886119965,0.0,0.9793197278911565,0.9159484166279677,0.2282058219605876,-1.0,29.17314836957955,29.963729410311785,-0.013707356607201678,-0.0005028246194687726,1.9970865235456954,1.9986685222809195,12.95741500518828,12.615506557923267,1.5638870805779652,0.0,0.0,0.0
1,8,1,171.05916312648384,50.93817873182056,0.8284558732165533,0.7952042886119965,0.0,0.9793197278911565,0.9159484166279677,0.2282058219605876,-1.0,29.17314836957955,29.963729410311785,-0.013707356607201678,-0.0005028246194687726,1.9970865235456954,1.9986685222809195,12.95741500518828,12.615506557923267,1.5638870805779652,0.0,0.0,0.0
2,8,2,200.91698917643765,62.30779523935204,0.6503419328738048,0.7440283666556491,1.1064225728323178,0.9444115470022206,0.8358670429691538,0.47406369132905035,-2.0,31.34150684266752,33.161027228413474,-0.007131448324050949,0.00011112629779173855,2.010403151694073,2.0141763184778405,14.808976191221086,13.039163658183513,1.0161536506484508,0.0,3.0,3.4699074115116817
3,8,3,202.30391324660772,62.30779523935204,0.6548312241191138,0.7491643725993669,1.1064225728323178,0.9444115470022206,0.8358670429691538,0.501806985008576,-2.0,31.45290552877601,35.010743493638294,-0.011329037809326405,-0.5310789365227917,2.017565404736689,4.889957164832474,15.392820748629175,13.31447630221562,1.2027869085666905,0.0,2.0,6.599576895696994
4,8,4,287.34261718950853,76.420705869655,0.6182837289604419,0.7466629290861683,1.1064225728323178,0.9344866414167263,0.8217360314226662,0.4414617475387671,-2.0,37.74570027299327,39.42793667787857,0.009855718655840609,-0.03151532756431485,2.0454465050943273,2.030053729537392,17.568191912345448,15.763588482987876,0.9931265414484922,0.0,8.0,5.448352000373227
5,8,5,288.63604076056606,76.420705869655,0.6210668272577312,0.7500239043621677,1.1064225728323178,0.9344866414167263,0.8217360314226662,0.45265423393152954,-2.0,37.83960601339365,40.48198661499191,0.014583069322584529,-0.2641764884763841,2.0536518234502386,3.1580942027284022,17.885071119693645,15.947869751903296,1.1012258227157417,0.0,7.0,5.423028948530233
6,8,6,363.77927521405104,86.78341300267672,0.6069799777643807,0.7600743475226511,1.262256738019968,0.9457194825366332,0.8050425380576521,0.2471301250708727,-4.0,42.82943740941712,43.63699703508033,-0.008301638795197401,-0.011756965358631213,2.0109059568101206,2.011597350310907,18.988591862236248,18.399609451402405,1.1027662898498845,0.0,7.0,15.75260789811163
7,8,7,364.76103045473326,86.78341300267672,0.608618074859958,0.7621256105407255,1.262256738019968,0.9457194825366332,0.8050425380576521,0.30099687763056715,-4.0,42.78187724891495,44.51698222727097,-0.00988245269066576,-0.15258935829238016,2.0145888238357017,2.654620523201187,19.32202941305229,18.425972720611323,1.2816805879381197,0.0,13.0,3.445133774994671
8,8,8,445.093542608967,96.03668661036599,0.6064385794817628,0.760103248146426,0.12466733215012031,0.9463143440838608,0.8088768235742652,0.19413916679390195,-1.0,47.54891241715825,47.90991371887191,0.00031350818703716787,-0.00879558913166599,2.0101703870519514,2.010606509748591,20.837343588358838,20.44089223869804,0.9877703045107921,0.0,12.0,10.104546994375896
9,8,9,446.12204809920553,96.03668661036599,0.6078399150411002,0.7618596662676244,0.12466733215012031,0.9463143440838608,0.8088768235742652,0.2328741734761135,-1.0,47.498067235823555,48.56331562006401,0.0011067201808681111,-0.09255665554815828,2.014155554255621,2.3549102623691613,21.058953761150338,20.47997728493533,1.2454461717436478,0.0,18.0,2.0171866938179193
10,8,10,446.5272169286934,96.03668661036599,0.6083919563220515,0.7625515885577933,0.12466733215012031,0.9463143440838608,0.8088768235742652,0.23784908078380332,-1.0,47.53927888600718,48.591800103278864,0.0009739591542422062,-0.09328095237258284,2.0130578287361685,2.3525350499850037,21.086893456378128,20.48174438845001,1.2110653161513854,0.0,8.0,11.634968358322947
11,8,11,447.80505708323216,100.35935013533908,0.558705796250541,0.7647338050114032,0.12466733215012031,0.935773754460156,0.7854161431832841,0.22496535466968004,-1.0,47.802370859019675,48.53012628692213,0.012609529143472948,-0.09607948699996942,2.0301970674901737,2.3581645787446806,21.09807068568553,20.557258843446007,1.0959602132564785,0.0,8.0,4.1763556270290305
12,8,12,450.0179022288968,107.2695538371841,0.49145833650885806,0.768512765211557,0.12466733215012031,0.9211127123172331,0.7448046956159342,0.19173922113939826,-1.0,48.227619800877754,48.4186152707485,-0.004437632463085235,-0.09979315243027366,2.0523942595320133,2.3687655329082378,21.091452568711233,20.700119825363373,0.8917305534629572,0.0,4.0,6.237262461635707
13,8,13,451.85674537811104,113.00454779308582,0.44465050555902563,0.7597302914603623,0.12466733215012031,0.9084789458607849,0.7181105495326904,0.18726268293689757,-1.0,48.16638565758502,48.76520040146381,-0.010929226480467178,-0.11013533058741598,2.055144367185698,2.3706441261418014,21.14495337976111,20.770896479676235,1.1677244795076847,0.0,0.0,0.0
14,8,14,451.98141271026117,116.51763060538175,0.418357105913195,0.7599399011421006,0.12466733215012031,0.8995984568144241,0.6996075213698467,0.18864208684721917,-1.0,48.160215381179675,48.78523079258486,-0.01071500576661368,-0.10943144959018163,2.0556288620141054,2.3707041761297476,21.150803745270593,20.77106024365162,1.1813956338458165,0.0,2.0,1.2934235710574982
